consensus,rounds
2.000000,7371
2.000000,8369
1.999999,10005
2.000000,8224
2.000000,5645
1.999997,9287
1.999999,6699
2.000001,8766
1.999999,7771
1.999999,7424
2.000000,6796
2.000000,7747
2.000000,7826
2.000000,7494
2.000000,6917
2.000000,8514
2.000000,7543
1.999999,7823
2.000000,8200
1.999999,8390
2.000000,7707
2.000000,7039
2.000000,7492
2.000000,8324
1.999999,6897
1.999999,8493
1.999999,8018
2.000000,8893
2.000000,7685
1.999999,8089
2.000000,6573
1.999999,9835
1.999999,7717
2.000000,7645
2.000000,7841
2.000000,6250
2.000000,6959
2.000000,8193
1.999999,6852
2.000000,8327
1.999999,8306
2.000000,6639
2.000000,8877
2.000000,6026
2.000000,8896
2.000000,7144
1.999999,8651
1.999999,7070
1.999998,8340
2.000000,7596
1.999999,7324
1.999999,6557
2.000000,7139
2.000000,7538
2.000000,7325
2.000000,9032
1.999999,8478
1.999999,7828
2.000000,7568
2.000000,6797
2.000000,7041
2.000000,7037
1.999999,7544
1.999999,8458
2.000000,6827
1.999999,8598
2.000000,7654
2.000000,8231
2.000001,7923
2.000000,7929
1.999999,8087
1.999999,6943
2.000000,7700
2.000000,8006
2.000001,8104
2.000001,8589
2.000000,7571
1.999999,7825
1.999999,9287
1.999999,7685
2.000000,7746
2.000000,8201
2.000000,7972
2.000000,7748
1.999999,6518
2.000000,7035
2.000001,9361
2.000000,6710
2.000000,8070
2.000000,7394
1.999999,8828
1.999999,7193
2.000000,8398
1.999998,8783
1.999999,8208
2.000000,6823
2.000000,7359
2.000000,7470
2.000000,7383
1.999999,7914
2.000000,6991
2.000000,6932
1.999999,7578
2.000000,7928
2.000000,7140
2.000000,7889
1.999999,8832
2.000000,7317
2.000000,7775
2.000000,6228
2.000000,5645
2.000002,9371
2.000000,8296
1.999999,7592
2.000000,7251
1.999999,8044
2.000000,7133
2.000000,7663
1.999999,8607
2.000000,7905
2.000000,7222
2.000000,9315
2.000000,8814
2.000000,7516
1.999999,7935
2.000000,6998
1.999999,8405
2.000000,7963
2.000001,8535
1.999999,7368
1.999999,7199
1.999998,9035
1.999999,8350
1.999999,8983
2.000000,7161
1.999999,7813
2.000000,6774
2.000000,6348
1.999999,7809
1.999999,7780
2.000000,6835
1.999999,7317
2.000000,7907
2.000000,6823
2.000000,7013
1.999999,7754
1.999999,7487
1.999999,7331
1.999999,8222
1.999999,8072
1.999999,7450
1.999999,9555
1.999999,8022
2.000000,8007
1.999999,7380
1.999999,8821
2.000000,6608
2.000000,6295
2.000000,7832
1.999999,8599
1.999999,7838
2.000000,7485
1.999999,7089
2.000000,6677
1.999999,7127
2.000000,8171
2.000000,7318
2.000000,6703
2.000000,8130
2.000000,6474
2.000000,6824
2.000000,6516
2.000000,8287
2.000000,8215
1.999999,9224
1.999999,8692
2.000000,7336
2.000000,8566
2.000000,6575
2.000001,8232
2.000000,8371
2.000000,7491
2.000000,7851
2.000000,8571
2.000000,7175
2.000000,7449
2.000000,7364
2.000000,6951
2.000000,7802
2.000000,6864
2.000000,7604
1.999999,8135
2.000000,8259
1.999999,7517
2.000000,7964
2.000000,7969
1.999999,6530
1.999999,7295
1.999999,8075
2.000000,6112
2.000000,6672
2.000000,7884
1.999999,8045
2.000000,9076
2.000000,6144
2.000000,5898
2.000000,5825
2.000000,6733
1.999999,6853
1.999999,8473
1.999999,8540
2.000000,7078
2.000000,7799
1.999999,7524
1.999999,6570
2.000000,8482
2.000000,8064
2.000000,6354
2.000000,6820
1.999993,8584
2.000000,6696
2.000000,7743
1.999999,7762
