consensus,rounds
2.010203,11187
2.010203,14292
2.010203,12066
2.010203,11135
2.010201,8352
2.010205,8376
2.010203,11363
2.010203,11114
2.010203,10831
2.010203,10305
2.010202,15362
2.010203,12410
2.010203,12320
2.010203,10505
2.010203,11835
2.010203,11500
2.010203,12704
2.010203,11191
2.010203,9972
2.010203,11315
2.010204,13305
2.010203,12945
2.010203,14591
2.010204,9110
2.010203,11701
2.010203,7432
2.010203,11898
2.010203,9929
2.010203,11436
2.010204,8585
2.010203,12188
2.010203,11877
2.010203,10288
2.010203,13852
2.010203,12040
2.010203,10273
2.010203,10948
2.010203,12516
2.010203,11523
2.010203,10126
2.010203,10872
2.010203,10322
2.010203,10434
2.010203,11214
2.010203,11897
2.010203,10622
2.010202,11350
2.010203,13266
2.010203,9850
2.010203,12977
2.010203,12051
2.010203,11476
2.010203,12038
2.010203,10353
2.010203,15184
2.010203,11076
2.010203,12928
2.010202,12155
2.010203,11667
2.010203,10740
2.010202,14622
2.010203,11835
2.010203,10830
2.010206,9071
2.010203,11251
2.010203,13063
2.010203,9925
2.010203,12653
2.010203,11229
2.010202,11677
2.010203,11228
2.010203,9340
2.010203,11628
2.010203,10094
2.010203,9397
2.010205,14210
2.010203,12434
2.010203,11316
2.010203,10729
2.010203,11495
2.010203,12339
2.010203,11555
2.010203,12044
2.010203,10829
2.010203,11669
2.010203,12462
2.010203,10226
2.010203,9898
2.010203,12386
2.010203,10790
2.010203,10732
2.010202,16527
2.010203,11326
2.010203,11624
2.010203,12654
2.010203,9451
2.010204,7870
2.010203,11571
2.010203,10684
2.010203,12385
2.010205,9207
2.010203,11619
2.010203,13532
2.010202,15067
2.010203,15086
2.010204,8651
2.010203,13114
2.010203,12021
2.010203,11773
2.010203,12752
2.010203,12006
2.010203,10172
2.010203,10247
2.010203,9622
2.010203,12873
2.010203,10521
2.010203,12179
2.010203,11874
2.010203,10782
2.010204,13965
2.010203,12841
2.010203,11231
2.010204,12734
2.010204,13183
2.010203,8396
2.010203,6998
2.010203,10992
2.010203,12557
2.010203,12806
2.010203,10825
2.010203,11073
2.010203,12800
2.010203,9291
2.010203,11924
2.010203,11165
2.010203,13268
2.010203,9981
2.010203,8653
2.010203,12413
2.010203,12523
2.010203,14060
2.010201,12421
2.010203,12399
2.010203,12886
2.010204,12628
2.010203,10922
2.010203,10354
2.010201,12087
2.010203,13712
2.010203,10551
2.010203,12746
2.010203,10854
2.010203,10249
2.010203,9333
2.010203,12175
2.010203,11792
2.010203,13293
2.010205,14155
2.010203,11508
2.010203,11853
2.010204,13318
2.010203,12167
2.010203,11492
2.010203,12341
2.010203,11641
2.010203,10753
2.010203,10939
2.010201,8027
2.010203,12717
2.010203,13171
2.010203,12737
2.010203,11251
2.010203,9878
2.010203,12183
2.010203,8046
2.010203,11894
2.010203,10268
2.010203,10028
2.010203,10670
2.010203,12319
2.010203,13103
2.010203,11650
2.010203,11474
2.010203,9290
2.010203,11381
2.010203,11059
2.010203,10503
2.010203,10415
2.010204,8773
2.010203,13123
2.010203,16459
2.010203,11155
2.010203,11676
2.010203,11237
2.010203,13071
2.010203,11401
2.010203,12656
2.010203,12537
2.010204,8729
2.010203,10821
2.010203,10882
2.010203,12251
2.010203,10920
2.010203,11974
2.010201,8449
2.010203,12181
2.010203,8650
2.010202,9244
2.010203,11391
2.010203,11606
2.010203,10914
2.010203,12235
2.010204,12745
2.010203,13421
2.010203,11026
2.010203,10300
2.010203,11078
2.010203,10183
2.010203,10860
2.010203,10946
2.010203,11941
2.010203,13164
2.010203,10456
2.010203,11102
2.010203,11588
2.010203,12783
2.010203,10221
2.010205,13232
2.010203,12331
2.010203,11517
2.010203,14326
2.010203,9686
2.010201,12719
2.010203,8216
2.010203,12463
2.010203,11439
2.010202,10914
2.010203,10682
2.010203,12104
2.010203,13118
2.010204,12354
2.010203,10767
2.010203,11349
2.010203,13335
2.010203,10324
2.010202,12136
2.010203,12028
2.010203,11080
2.010203,13224
2.010203,10827
2.010203,10746
2.010203,12180
2.010203,13601
2.010203,12427
2.010203,12175
2.010203,10872
2.010203,11872
2.010203,12795
2.010203,12034
2.010203,12247
2.010203,11848
